"agency","Program Name","Fiscal_Year"
"ED","Title I Grants to Local Educational Agencies","2022"
"ED","Title I Grants to Local Educational Agencies","2023"
"ED","Title I State Agency Program for Neglected and Delinquent Children and Youth","2021"
"ED","Title I State Agency Program for Neglected and Delinquent Children and Youth","2022"
"ED","Transition Programs for Students with Intellectual Disabilities into Higher Education","2021"
"ED","Transition Programs for Students with Intellectual Disabilities into Higher Education","2022"
"ED","Travel and Transportation - Department of Education","2021"
"ED","TRIO Educational Opportunity Centers","2021"
"ED","TRIO Educational Opportunity Centers","2022"
"ED","TRIO McNair Post-Baccalaureate Achievement","2021"
"ED","TRIO McNair Post-Baccalaureate Achievement","2022"
"ED","TRIO Staff Training Program","2021"
"ED","TRIO Student Support Services","2021"
"ED","TRIO Student Support Services","2022"
"ED","TRIO Talent Search","2021"
"ED","TRIO Talent Search","2022"
"ED","TRIO Upward Bound","2021"
"ED","TRIO Upward Bound","2022"
"ED","Twenty-First Century Community Learning Centers","2021"
"ED","Twenty-First Century Community Learning Centers","2022"
"ED","William D. Ford Federal Direct Loan Program","2021"
"ED","William D. Ford Federal Direct Loan Program","2022"
"ED","William D. Ford Federal Direct Loan Program","2023"
"ED","William D. Ford Federal Direct Loan Program","2024"
"ED","William D. Ford Federal Direct Loan Program","2025"
"EEOC","Pay and Benefits","2022"
"EEOC","Travel","2022"
"EEOC","Vendor Payments","2022"
"EPA","Clean Water State Revolving Fund","2021"
"EPA","Clean Water State Revolving Fund","2022"
"EPA","Commodities - Environmental Protection Agency","2021"
"EPA","Commodities - Environmental Protection Agency","2022"
"EPA","Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers","2021"
"EPA","Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers","2022"
"EPA","Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers","2024"
"EPA","Contracts - Environmental Protection Agency","2021"
"EPA","Contracts - Environmental Protection Agency","2022"
"EPA","Disaster Relief - Hurricane Sandy Fund (Sandy)","2021"
"EPA","Disaster Relief - Hurricane Sandy Fund (Sandy)","2022"
"EPA","Disaster Relief Funds (2018)","2021"
"EPA","Disaster Relief Funds (2018)","2022"
"EPA","Drinking Water State Revolving Fund","2021"
"EPA","Drinking Water State Revolving Fund","2022"
"EPA","Payroll - Environmental Protection Agency","2021"
"EPA","Payroll - Environmental Protection Agency","2022"
"EPA","Purchase Cards - Environmental Protection Agency","2021"
"EPA","Purchase Cards - Environmental Protection Agency","2022"
"EPA","Travel - Environmental Protection Agency","2021"
"EPA","Travel - Environmental Protection Agency","2022"
"EXIM","Cash-control Disbursements","2022"
"EXIM","Long-term Authorizations","2022"
"EXIM","Medium-term Authorizations","2022"
"EXIM","Short-term Authorizations","2022"
"FCC","Connected Care Pilot Program","2022"
"FCC","COVID-19 Telehealth","2021"
"FCC","COVID-19 Telehealth","2022"
"FCC","Emergency Broadband Benefit Program (EBBP)","2022"
"FCC","FCC Affordable Connectivity Program (ACP)","2022"
"FCC","FCC Affordable Connectivity Program Outreach Grants","2022"
"FCC","FCC Emergency Connectivity Fund (ECF)","2022"
"FCC","FCC Secured & Trusted Communications Network Reimbursement Program (STCNRP)","2022"
"FCC","Federal Communications Commission Operating Expenses","2021"
"FCC","Federal Communications Commission Operating Expenses","2022"
"FCC","North American Numbering Plan","2021"
"FCC","North American Numbering Plan","2022"
"FCC","Telecommunications Relay Service","2021"
"FCC","Telecommunications Relay Service","2022"
"FCC","Telecommunications Relay Service","2023"
"FCC","TV Broadcasting Relocation Fund","2021"
"FCC","TV Broadcasting Relocation Fund","2022"
"FCC","Universal Service Administrative Company (USAC) - Administrative Costs","2021"
"FCC","Universal Service Administrative Company (USAC) - Administrative Costs","2022"
"FCC","Universal Service Fund - High Cost Legacy","2021"
"FCC","Universal Service Fund - High Cost Legacy","2022"
"FCC","Universal Service Fund - High Cost Legacy","2023"
"FCC","Universal Service Fund - High Cost Legacy","2024"
"FCC","Universal Service Fund - High Cost Legacy","2025"
"FCC","Universal Service Fund - Rural Health Care","2021"
"FCC","Universal Service Fund - Rural Health Care","2022"
"FCC","Universal Service Fund - Schools and Libraries","2021"
"FCC","Universal Service Fund - Schools and Libraries","2022"
"FCC","Universal Service Fund - Schools and Libraries","2023"
"FCC","Universal Service Fund - Schools and Libraries","2024"
"FCC","Universal Service Fund – Lifeline","2021"
"FCC","Universal Service Fund – Lifeline","2022"
"FCC","Universal Service Fund – Lifeline","2023"
"FCC","Universal Service Fund – Lifeline","2024"
"FCC","Universal Service Fund – Lifeline","2025"
"FMC","Office of Inspector General","2021"
"FMC","Operations and Administration","2021"
"GSA","Acquisition Services Fund - Operating","2021"
"GSA","Acquisition Services Fund - Operating","2022"
"GSA","Acquisition Workforce Training","2021"
"GSA","Acquisition Workforce Training","2022"
"GSA","Allowances, Pensions, and Office Staff","2021"
"GSA","Allowances, Pensions, and Office Staff","2022"
"GSA","Assisted Acquisition Services (AAS)","2021"
"GSA","Assisted Acquisition Services (AAS)","2022"
"GSA","Audit Contracts and Contract Administration","2021"
"GSA","Audit Contracts and Contract Administration","2022"
"GSA","Building Operations","2021"
"GSA","Building Operations","2022"
"GSA","Common Acquisition Platform (CAP)","2021"
"GSA","Common Acquisition Platform (CAP)","2022"
"GSA","Construction and Acquisition of Facilities","2021"
"GSA","Construction and Acquisition of Facilities","2022"
"GSA","Data Driven Innovation","2021"
"GSA","Digital Services","2021"
"GSA","Digital Services","2022"
"GSA","Direct Program Activity","2021"
"GSA","Direct Program Activity","2022"
"GSA","Disaster Emergency Funds","2021"
"GSA","Disaster Emergency Funds","2022"
"GSA","Electronic Government","2021"
"GSA","Electronic Government","2022"
"GSA","Employee Payments","2021"
"GSA","Employee Payments","2022"
"GSA","Environmental Review Improvement","2021"
"GSA","Environmental Review Improvement","2022"
"GSA","Federal Buildings and Courthouses","2021"
"GSA","Federal Buildings and Courthouses","2022"
"GSA","Federal Citizen Services Fund","2021"
"GSA","Federal Citizen Services Fund","2022"
"GSA","Government-wide Policy","2021"
"GSA","Government-wide Policy","2022"
"GSA","Government-wide Policy (Reimbursable)","2021"
"GSA","Government-wide Policy (Reimbursable)","2022"
"GSA","High-Performance Green Buildings - Major Repairs & Alterations","2021"
"GSA","High-Performance Green Buildings - Major Repairs & Alterations","2022"
"GSA","Information Technology Category","2021"
"GSA","Information Technology Category","2022"
"GSA","Installment Acquisition Payments","2021"
"GSA","Installment Acquisition Payments","2022"
"GSA","Integrated Award Environment","2021"
"GSA","Integrated Award Environment","2022"
"GSA","IT Modernization and Development","2021"
"GSA","IT Modernization and Development","2022"
"GSA","ITOR Oversight, Cybersecurity and Program Management","2021"
"GSA","ITOR Oversight, Cybersecurity and Program Management","2022"
"GSA","Land Ports of Entry","2021"
"GSA","Land Ports of Entry","2022"
"GSA","Lapsed Balances","2021"
"GSA","Lapsed Balances","2022"
"GSA","Office of Products and Programs","2021"
"GSA","Office of Products and Programs","2022"
"GSA","Operating Expenses (Direct)","2021"
"GSA","Operating Expenses (Direct)","2022"
"GSA","Operating Expenses (Reimbursable)","2021"
"GSA","Operating Expenses (Reimbursable)","2022"
"GSA","Pre-Election Transition","2021"
"GSA","Pre-Election Transition","2022"
"GSA","Presidential Transition","2021"
"GSA","Presidential Transition","2022"
"GSA","Purchase Cards","2021"
"GSA","Purchase Cards","2022"
"GSA","Real Property Relocation","2021"
"GSA","Real Property Relocation","2022"
"GSA","Real Property Utilization and Disposal","2021"
"GSA","Real Property Utilization and Disposal","2022"
"GSA","Reimbursable Program Activity","2021"
"GSA","Reimbursable Program Activity","2022"
"GSA","Rental of Space","2021"
"GSA","Rental of Space","2022"
"GSA","Repairs and Alterations","2021"
"GSA","Repairs and Alterations","2022"
"GSA","Sale of Federal Surplus Personal Property","2021"
"GSA","Sale of Federal Surplus Personal Property","2022"
"GSA","Space Management","2021"
"GSA","Space Management","2022"
"GSA","Special Services and Improvements","2021"
"GSA","Special Services and Improvements","2022"
"GSA","Technology Modernization Fund","2022"
"GSA","Technology Transformation Service","2021"
"GSA","Technology Transformation Service","2022"
"GSA","Travel, Transportation, and Logistics Categories","2021"
"GSA","Travel, Transportation, and Logistics Categories","2022"
"GSA","Unconditional Gifts","2021"
"GSA","Unconditional Gifts","2022"
"GSA","Working Capital Fund (Direct)","2021"
"GSA","Working Capital Fund (Direct)","2022"
"GSA","Working Capital Fund (Reimbursable)","2021"
"GSA","Working Capital Fund (Reimbursable)","2022"
"HHS","Administration for Children and Families (ACF) - Adoption and Legal Guardianship Incentive Payments Program","2022"
"HHS","Administration for Children and Families (ACF) - Adoption Assistance","2021"
"HHS","Administration for Children and Families (ACF) - Adoption Assistance","2022"
"HHS","Administration for Children and Families (ACF) - Adoption Opportunities","2022"
"HHS","Administration for Children and Families (ACF) - Affordable Care Act (ACA) Personal Responsibility Education Program","2022"
"HHS","Administration for Children and Families (ACF) - ARRA – Child Care and Development Block Grant","2022"
"HHS","Administration for Children and Families (ACF) - ARRA Emergency Contingency Fund for Temporary Assistance for Needy Families (TANF) State Program","2022"
"HHS","Administration for Children and Families (ACF) - Assets for Independence Demonstration Program","2022"
"HHS","Administration for Children and Families (ACF) - Assistance for Torture Victims","2022"
"HHS","Administration for Children and Families (ACF) - Basic Center Grant","2022"
"HHS","Administration for Children and Families (ACF) - Chafee Education and Training Vouchers Program (ETV)","2022"
"HHS","Administration for Children and Families (ACF) - Child Abuse and Neglect Discretionary Activities","2022"
"HHS","Administration for Children and Families (ACF) - Child Abuse and Neglect State Grants","2022"
"HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","2021"
