"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"DOT","2025","Federal Transit Administration Capital Investment Grants","","","No","No"
"DOT","2017","Federal Transit Administration Emergency Relief Program","","","No",""
"DOT","2018","Federal Transit Administration Emergency Relief Program","","","Yes","No"
"DOT","2019","Federal Transit Administration Emergency Relief Program","","","No","No"
"DOT","2020","Federal Transit Administration Emergency Relief Program","","","No","No"
"DOT","2021","Federal Transit Administration Emergency Relief Program","","No","Yes","No"
"DOT","2022","Federal Transit Administration Emergency Relief Program","","","No","No"
"DOT","2023","Federal Transit Administration Emergency Relief Program","0","","No","No"
"DOT","2024","Federal Transit Administration Emergency Relief Program","0","","Yes","No"
"DOT","2025","Federal Transit Administration Emergency Relief Program","","","No","No"
"DOT","2017","Federal Transit Administration Formula Grants","","","No",""
"DOT","2018","Federal Transit Administration Formula Grants","","","No",""
"DOT","2019","Federal Transit Administration Formula Grants","","No","Yes","No"
"DOT","2020","Federal Transit Administration Formula Grants","","","No","No"
"DOT","2021","Federal Transit Administration Formula Grants","","","No","No"
"DOT","2022","Federal Transit Administration Formula Grants","0","No","Yes","No"
"DOT","2023","Federal Transit Administration Formula Grants","0","","No","No"
"DOT","2024","Federal Transit Administration Formula Grants","0","","No","No"
"DOT","2025","Federal Transit Administration Formula Grants","0","","Yes","No"
"DOT","2017","Federal Transit Administration Other Grant Programs","","","No",""
"DOT","2020","Federal Transit Administration Other Grant Programs","","NO","Yes","No"
"DOT","2021","Federal Transit Administration Other Grant Programs","","","No","No"
"DOT","2022","Federal Transit Administration Other Grant Programs","","","No","No"
"DOT","2023","Federal Transit Administration Other Grant Programs","","","No","No"
"DOT","2020","Federal Transit Administration Transit Infrastructure Grants","","NO","Yes","No"
"DOT","2021","Federal Transit Administration Transit Infrastructure Grants","","","No","No"
"DOT","2022","Federal Transit Administration Transit Infrastructure Grants","","","No","No"
"DOT","2023","Federal Transit Administration Transit Infrastructure Grants","0","","Yes","No"
"DOT","2024","Federal Transit Administration Transit Infrastructure Grants","0","","No","No"
"DOT","2025","Federal Transit Administration Transit Infrastructure Grants","","","No","No"
"DOT","2021","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","","Yes","Yes","Yes"
"DOT","2022","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","","","Yes","Yes"
"DOT","2023","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","0","","Yes","Yes"
"DOT","2024","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","0","","Yes","Yes"
"DOT","2025","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","0","","Yes","No"
"DOT","2019","Federal Transit Administration Washington Metro","","No","Yes","No"
"DOT","2020","Federal Transit Administration Washington Metro","","","No","No"
"DOT","2021","Federal Transit Administration Washington Metro","","","No","No"
"DOT","2022","Federal Transit Administration Washington Metro","0","No","Yes","No"
"DOT","2023","Federal Transit Administration Washington Metro","0","","No","No"
"DOT","2024","Federal Transit Administration Washington Metro","0","","No","No"
"DOT","2025","Federal Transit Administration Washington Metro","0","","Yes","No"
"DOT","2025","Fueling Aviation's Sustainable Transition via Sustainable Aviation Fuels (FAST-SAF) and Low-Emissions Aviation Technologies (FAST-Tech) Grant","","","No",""
"DOT","2017","Maritime Administration Approval Workflow Contract Payments","","","No",""
"DOT","2020","Maritime Administration Approval Workflow Contract Payments","","NO","Yes","No"
"DOT","2021","Maritime Administration Approval Workflow Contract Payments","","","No","No"
"DOT","2022","Maritime Administration Approval Workflow Contract Payments","","","No","No"
"DOT","2023","Maritime Administration Approval Workflow Contract Payments","0","","Yes","No"
"DOT","2024","Maritime Administration Approval Workflow Contract Payments","0","","No","No"
"DOT","2025","Maritime Administration Approval Workflow Contract Payments","","","No","No"
"DOT","2017","Maritime Administration Assistance Programs","","","No",""
"DOT","2020","Maritime Administration Assistance Programs","","NO","Yes","No"
"DOT","2021","Maritime Administration Assistance Programs","","","No","No"
"DOT","2022","Maritime Administration Assistance Programs","","","No","No"
"DOT","2023","Maritime Administration Assistance Programs","0","","Yes","No"
"DOT","2024","Maritime Administration Assistance Programs","0","","No","No"
"DOT","2025","Maritime Administration Assistance Programs","","","No","No"
"DOT","2017","Maritime Administration Electronic Invoicing System Ship Manager Payments","","","No",""
"DOT","2018","Maritime Administration Electronic Invoicing System Ship Manager Payments","","","No",""
"DOT","2019","Maritime Administration Electronic Invoicing System Ship Manager Payments","","","No",""
"DOT","2020","Maritime Administration Electronic Invoicing System Ship Manager Payments","","NO","Yes","No"
"DOT","2021","Maritime Administration Electronic Invoicing System Ship Manager Payments","","","No","No"
"DOT","2022","Maritime Administration Electronic Invoicing System Ship Manager Payments","","","No","No"
"DOT","2023","Maritime Administration Electronic Invoicing System Ship Manager Payments","0","","Yes","No"
"DOT","2024","Maritime Administration Electronic Invoicing System Ship Manager Payments","0","","No","No"
"DOT","2025","Maritime Administration Electronic Invoicing System Ship Manager Payments","","","No","No"
"DOT","2017","Maritime Administration Federal Ship Financing Program Contracts","","","No",""
"DOT","2020","Maritime Administration Federal Ship Financing Program Contracts","","NO","Yes","No"
"DOT","2021","Maritime Administration Federal Ship Financing Program Contracts","","","No","No"
"DOT","2022","Maritime Administration Federal Ship Financing Program Contracts","","","No","No"
"DOT","2023","Maritime Administration Federal Ship Financing Program Contracts","0","","Yes","No"
"DOT","2024","Maritime Administration Federal Ship Financing Program Contracts","0","","No","No"
"DOT","2025","Maritime Administration Federal Ship Financing Program Contracts","","","No","No"
"DOT","2017","Maritime Administration Personnel Compensation and Benefits","","","No",""
"DOT","2020","Maritime Administration Personnel Compensation and Benefits","","NO","Yes","No"
"DOT","2021","Maritime Administration Personnel Compensation and Benefits","","","No","No"
"DOT","2022","Maritime Administration Personnel Compensation and Benefits","","","No","No"
"DOT","2023","Maritime Administration Personnel Compensation and Benefits","0","","Yes","No"
"DOT","2024","Maritime Administration Personnel Compensation and Benefits","0","","No","No"
"DOT","2025","Maritime Administration Personnel Compensation and Benefits","","","No","No"
"DOT","2022","Maritime Administration Port Infrastructure Development","","","No",""
"DOT","2023","Maritime Administration Port Infrastructure Development","0","","Yes","No"
"DOT","2024","Maritime Administration Port Infrastructure Development","0","","No","No"
"DOT","2025","Maritime Administration Port Infrastructure Development","","","No","No"
"DOT","2017","Maritime Administration Student Incentive Program","","","No",""
"DOT","2020","Maritime Administration Student Incentive Program","","NO","Yes","No"
"DOT","2021","Maritime Administration Student Incentive Program","","","No","No"
"DOT","2022","Maritime Administration Student Incentive Program","","","No","No"
"DOT","2023","Maritime Administration Student Incentive Program","0","","Yes","No"
"DOT","2024","Maritime Administration Student Incentive Program","0","","No","No"
"DOT","2025","Maritime Administration Student Incentive Program","","","No","No"
"DOT","2017","Maritime Administration Travel Payments","","","No",""
"DOT","2020","Maritime Administration Travel Payments","","NO","Yes","No"
"DOT","2021","Maritime Administration Travel Payments","","","No","No"
"DOT","2022","Maritime Administration Travel Payments","","","No","No"
"DOT","2023","Maritime Administration Travel Payments","","","No","No"
"DOT","2024","Maritime War Risk Insurance","","","No",""
"DOT","2025","Maritime War Risk Insurance","","","No",""
"DOT","2025","Motor Vehicle Safety Research","","","No",""
"DOT","2025","National Driver Register","","","No",""
"DOT","2017","National Highway Traffic Safety Administration","","","No",""
"DOT","2020","National Highway Traffic Safety Administration","","NO","Yes","No"
"DOT","2021","National Highway Traffic Safety Administration","","","No","No"
"DOT","2022","National Highway Traffic Safety Administration","","","No","No"
"DOT","2023","National Highway Traffic Safety Administration","0","","Yes","No"
"DOT","2024","National Highway Traffic Safety Administration","0","","No","No"
"DOT","2025","National Highway Traffic Safety Administration","","","No","No"
"DOT","2017","National Highway Traffic Safety Administration Highway Traffic Safety Grants","","","No",""
"DOT","2020","National Highway Traffic Safety Administration Highway Traffic Safety Grants","","NO","Yes","No"
"DOT","2021","National Highway Traffic Safety Administration Highway Traffic Safety Grants","","","No","No"
"DOT","2022","National Highway Traffic Safety Administration Highway Traffic Safety Grants","","","No","No"
"DOT","2023","National Highway Traffic Safety Administration Highway Traffic Safety Grants","0","","Yes","No"
"DOT","2024","National Highway Traffic Safety Administration Highway Traffic Safety Grants","0","","No","No"
"DOT","2025","National Highway Traffic Safety Administration Highway Traffic Safety Grants","","","No","No"
"DOT","2017","Office of Inspector General Salaries and Expenses","","","No",""
